source,target,weight,source_type,target_type
4981,2326,21.72783752667306,Nematocyte-related,Epidermal/Muscle-related
4981,577,21.023825943783095,Nematocyte-related,Epidermal/Muscle-related
4981,6608,20.23348259359013,Nematocyte-related,Epidermal/Muscle-related
4981,5460,-20.148922361686573,Nematocyte-related,Nematocyte-related
4821,577,-19.826139567334337,Epidermal/Muscle-related,Epidermal/Muscle-related
4855,4727,-19.68152942703315,Nematocyte-related,Nematocyte-related
4981,2090,19.428389020313183,Nematocyte-related,Nematocyte-related
4821,1504,19.42805271761334,Epidermal/Muscle-related,Epidermal/Muscle-related
4821,5749,-19.33803920314085,Epidermal/Muscle-related,Epidermal/Muscle-related
4981,3096,-19.24039438285924,Nematocyte-related,Epidermal/Muscle-related
4981,3048,-19.14508919388857,Nematocyte-related,Epidermal/Muscle-related
4981,4334,19.0913258678761,Nematocyte-related,Nematocyte-related
4771,2309,18.86129705223389,Nematocyte-related,Epidermal/Muscle-related
4981,1172,18.845160302994408,Nematocyte-related,Nematocyte-related
4855,3289,18.754566574640275,Nematocyte-related,Neural-related
4925,1013,-18.498960011550658,Epidermal/Muscle-related,Nematocyte-related
4771,3048,18.444006630166037,Nematocyte-related,Epidermal/Muscle-related
4771,5460,18.379149200782148,Nematocyte-related,Nematocyte-related
4981,2309,-18.324793809473782,Nematocyte-related,Epidermal/Muscle-related
4855,5460,18.28759817729206,Nematocyte-related,Nematocyte-related
4855,3048,18.23886925757553,Nematocyte-related,Epidermal/Muscle-related
4771,3096,18.178688766374126,Nematocyte-related,Epidermal/Muscle-related
4855,6608,-17.86668948292888,Nematocyte-related,Epidermal/Muscle-related
4771,577,-17.832667331306336,Nematocyte-related,Epidermal/Muscle-related
4771,846,17.82011341133908,Nematocyte-related,Nematocyte-related
4981,796,17.507347967691082,Nematocyte-related,Epidermal/Muscle-related
4981,693,17.47832974559119,Nematocyte-related,Epidermal/Muscle-related
4981,5847,17.445424443968808,Nematocyte-related,Nematocyte-related
4981,6411,17.43373570898064,Nematocyte-related,Nematocyte-related
4981,2035,17.426593019895286,Nematocyte-related,Epidermal/Muscle-related
4981,4675,17.391421053643267,Nematocyte-related,Epidermal/Muscle-related
4771,4727,-17.330754996895106,Nematocyte-related,Nematocyte-related
4771,3289,17.33048898429428,Nematocyte-related,Neural-related
4981,6259,17.211622843565834,Nematocyte-related,Neural-related
4821,357,-17.201577926131662,Epidermal/Muscle-related,Neural-related
4821,4675,-17.190959108384444,Epidermal/Muscle-related,Epidermal/Muscle-related
4855,846,17.104084311535257,Nematocyte-related,Nematocyte-related
4968,846,-16.99845964126407,Nematocyte-related,Nematocyte-related
4855,3096,16.965383560056292,Nematocyte-related,Epidermal/Muscle-related
4981,846,-16.95155865790533,Nematocyte-related,Nematocyte-related
4855,2309,16.884878093873674,Nematocyte-related,Epidermal/Muscle-related
4855,3157,16.855932698330438,Nematocyte-related,Epidermal/Muscle-related
4771,6608,-16.849823830892795,Nematocyte-related,Epidermal/Muscle-related
4981,3471,-16.802434709894136,Nematocyte-related,Neural-related
4981,918,16.79042855082239,Nematocyte-related,Epidermal/Muscle-related
4855,3815,-16.69495107226475,Nematocyte-related,Nematocyte-related
4855,693,-16.648971779828777,Nematocyte-related,Epidermal/Muscle-related
4981,5597,16.621133963599846,Nematocyte-related,Nematocyte-related
4981,1856,16.60372559991121,Nematocyte-related,Nematocyte-related
4821,3006,-16.558013530297696,Epidermal/Muscle-related,Epidermal/Muscle-related
4785,5624,16.548940331886612,Neural-related,Epidermal/Muscle-related
4855,7050,16.542405697419486,Nematocyte-related,Epidermal/Muscle-related
4821,812,16.536327444226128,Epidermal/Muscle-related,Nematocyte-related
4855,1862,-16.507896181741845,Nematocyte-related,Epidermal/Muscle-related
4855,4048,-16.5074283246533,Nematocyte-related,Neural-related
4771,4334,-16.389429574377438,Nematocyte-related,Nematocyte-related
4821,1172,-16.386147448624346,Epidermal/Muscle-related,Nematocyte-related
4821,6259,-16.351563028084872,Epidermal/Muscle-related,Neural-related
4981,2686,16.3431581711975,Nematocyte-related,Epidermal/Muscle-related
4855,6017,16.321641847041725,Nematocyte-related,Epidermal/Muscle-related
4925,577,-16.308370600449575,Epidermal/Muscle-related,Epidermal/Muscle-related
4771,3157,16.3037738727312,Nematocyte-related,Epidermal/Muscle-related
4855,5139,16.27259943277506,Nematocyte-related,Nematocyte-related
4821,2326,-16.229703649334702,Epidermal/Muscle-related,Epidermal/Muscle-related
4855,577,-16.224731220265966,Nematocyte-related,Epidermal/Muscle-related
4981,6514,16.21597579290336,Nematocyte-related,Epidermal/Muscle-related
4821,5460,16.20697115436922,Epidermal/Muscle-related,Nematocyte-related
4771,2326,-16.181975586102453,Nematocyte-related,Epidermal/Muscle-related
4821,2194,-16.10679224227136,Epidermal/Muscle-related,Epidermal/Muscle-related
4855,3288,16.095161272139727,Nematocyte-related,Neural-related
4771,6078,16.01992172933058,Nematocyte-related,Epidermal/Muscle-related
4760,2309,-16.000477245231966,Neural-related,Epidermal/Muscle-related
4889,3289,15.9922377702037,Nematocyte-related,Neural-related
4901,2309,15.891396594988864,Nematocyte-related,Epidermal/Muscle-related
4821,2188,-15.883023603582988,Epidermal/Muscle-related,Epidermal/Muscle-related
4821,298,-15.882542294041828,Epidermal/Muscle-related,Neural-related
4882,3289,-15.869794177151233,Nematocyte-related,Neural-related
4981,940,15.846062699869481,Nematocyte-related,Epidermal/Muscle-related
4925,2326,-15.836823337083267,Epidermal/Muscle-related,Epidermal/Muscle-related
4981,1525,15.829325562546162,Nematocyte-related,Epidermal/Muscle-related
4771,2090,-15.817354257433735,Nematocyte-related,Nematocyte-related
4981,5749,15.797788617854849,Nematocyte-related,Epidermal/Muscle-related
4771,6360,15.795827724410692,Nematocyte-related,Nematocyte-related
4771,4229,15.775611049892994,Nematocyte-related,Nematocyte-related
4981,6073,15.771729024637148,Nematocyte-related,Epidermal/Muscle-related
4831,3289,-15.768721174254855,Nematocyte-related,Neural-related
4771,1455,15.75252437075901,Nematocyte-related,Epidermal/Muscle-related
4855,2250,15.743947308117294,Nematocyte-related,Neural-related
4981,328,15.727049015574874,Nematocyte-related,Neural-related
4785,3193,15.715243081054044,Neural-related,Neural-related
