protein_id,orthogroup
XLOC-000103#FGFR1-CHICK#P21804,OG0000000
XLOC-000220#XLOC-000220,OG0000000
XLOC-000394#FGFR4-RAT#Q498D6,OG0000000
XLOC-000974#FGFR1-XENLA#P22182,OG0000000
XLOC-000975#FGFR1-MOUSE#P16092,OG0000000
XLOC-000977#XLOC-000977,OG0000000
XLOC-000978#XLOC-000978,OG0000000
XLOC-000979#XLOC-000979,OG0000000
XLOC-001988#DDR2-HUMAN#Q16832,OG0000000
XLOC-002250#DDR2-HUMAN#Q16832,OG0000000
XLOC-002262#CAD96-DROME#Q9VBW3,OG0000000
XLOC-002795#CAD96-DROME#Q9VBW3,OG0000000
XLOC-002840#ABL-FSVHY#P10447,OG0000000
XLOC-002982#CSK-HUMAN#P41240,OG0000000
XLOC-003292#CAD96-DROME#Q9VBW3,OG0000000
XLOC-003405#XLOC-003405,OG0000000
XLOC-003407#CAD96-DROME#Q9VBW3,OG0000000
XLOC-007057#EPA4A-DANRE#O13148,OG0000000
XLOC-008888#FER-CANLF#Q9TTY2,OG0000000
XLOC-009049#XLOC-009049,OG0000000
XLOC-009113#ROR1-DROME#Q24488,OG0000000
XLOC-011095#XLOC-011095,OG0000000
XLOC-011097#XLOC-011097,OG0000000
XLOC-011122#XLOC-011122,OG0000000
XLOC-013744#CAD96-DROME#Q9VBW3,OG0000000
XLOC-015278#XLOC-015278,OG0000000
XLOC-015290#STK-HYDVU#P17713,OG0000000
XLOC-015883#SRC42-DROME#Q9V9J3,OG0000000
XLOC-015933#XLOC-015933,OG0000000
XLOC-015934#XLOC-015934,OG0000000
XLOC-016404#FAK1-CHICK#Q00944,OG0000000
XLOC-016457#STK-HYDVU#P17713,OG0000000
XLOC-019548#TORSO-BOMMO#D2IYS2,OG0000000
XLOC-021964#HTK16-HYDVU#P53356,OG0000000
XLOC-023934#AGRG2-MOUSE#Q8CJ12,OG0000000
XLOC-025894#CSK-BOVIN#Q0VBZ0,OG0000000
XLOC-025939#HTK7-HYDVU#Q25197,OG0000000
XLOC-025940#HTK7-HYDVU#Q25197,OG0000000
XLOC-026110#FGFR3-CHICK#P18460,OG0000000
XLOC-027138#FGFR3-CHICK#P18460,OG0000000
gene-evm.model.ptg000002l.38-1#FGFR-HALRO#Q95YM9,OG0000000
gene-evm.model.ptg000003l.16-1#FGFR1-XENLA#P22182,OG0000000
gene-evm.model.ptg000003l.18-1#gene-evm.model.ptg000003l.18,OG0000000
gene-evm.model.ptg000003l.425#gene-evm.model.ptg000003l.425,OG0000000
gene-evm.model.ptg000003l.762#FGFR4-RAT#Q498D6,OG0000000
gene-evm.model.ptg000005l.365#ACK1-MOUSE#O54967,OG0000000
gene-evm.model.ptg000005l.369#EPHB1-HUMAN#P54762,OG0000000
gene-evm.model.ptg000005l.428#gene-evm.model.ptg000005l.428,OG0000000
gene-evm.model.ptg000007l.511#CSK-BOVIN#Q0VBZ0,OG0000000
gene-evm.model.ptg000008l.325#AGRG2-MOUSE#Q8CJ12,OG0000000
gene-evm.model.ptg000010l.1326#CAD96-DROME#Q9VBW3,OG0000000
gene-evm.model.ptg000013l.1018#PAO1-MAIZE#O64411,OG0000000
gene-evm.model.ptg000022l.389#ABL-FSVHY#P10447,OG0000000
gene-evm.model.ptg000024l.687#CCD60-HUMAN#Q8IWA6,OG0000000
gene-evm.model.ptg000028l.1022-1#FAK2-HUMAN#Q14289,OG0000000
gene-evm.model.ptg000028l.40#gene-evm.model.ptg000028l.40,OG0000000
gene-evm.model.ptg000031l.508#CSK-HUMAN#P41240,OG0000000
gene-evm.model.ptg000037l.48-1#FER-CANLF#Q9TTY2,OG0000000
gene-evm.model.ptg000049l.33#STK-HYDVU#P17713,OG0000000
gene-evm.model.ptg000049l.41#SRC42-DROME#Q9V9J3,OG0000000
XLOC-016743#XLOC-016743,OG0000001
XLOC-002187#HRH2-RAT#P25102,OG0000002
XLOC-002188#HRH2-CAVPO#P47747,OG0000002
XLOC-002345#GPR45-MOUSE#Q9EQQ4,OG0000002
XLOC-002498#HRH2-RAT#P25102,OG0000002
XLOC-006138#ADA1A-CANLF#O77621,OG0000002
XLOC-009026#OCTB1-DROME#Q9VCZ3,OG0000002
XLOC-009534#XLOC-009534,OG0000002
XLOC-009959#ADRB1-RAT#P18090,OG0000002
XLOC-011074#ADRB2-CAVPO#Q8K4Z4,OG0000002
XLOC-011081#AA2BR-RAT#P29276,OG0000002
XLOC-011987#OPN4-BRABE#Q4R1I4,OG0000002
XLOC-013678#OPN4B-XENLA#O57422,OG0000002
XLOC-013771#AA2DA-DANRE#Q8JG70,OG0000002
XLOC-014173#AA2BR-HUMAN#P29275,OG0000002
XLOC-014982#XLOC-014982,OG0000002
XLOC-021068#ADA1A-ORYLA#Q91175,OG0000002
XLOC-021418#ADRB1-MELGA#P07700,OG0000002
XLOC-022218#NMUR2-MOUSE#Q8BZ39,OG0000002
XLOC-022288#HRH2-GORGO#Q76MS7,OG0000002
XLOC-022344#HRH2-CAVPO#P47747,OG0000002
XLOC-025271#ADA1A-ORYLA#Q91175,OG0000002
XLOC-025842#XLOC-025842,OG0000002
XLOC-026205#5HT2A-PIG#P50129,OG0000002
XLOC-026625#ADRB1-XENLA#O42574,OG0000002
XLOC-026641#ADRB2-PIG#Q28997,OG0000002
XLOC-026696#TLR1-DROME#P30974,OG0000002
XLOC-026914#DRD1-CARAU#P35406,OG0000002
XLOC-027108#OCTB2-DROME#Q4LBB9,OG0000002
XLOC-027120#OCTB2-CHISP#G3M4F8,OG0000002
XLOC-001284#OX2R-HUMAN#O43614,OG0000003
XLOC-002221#OX2R-HUMAN#O43614,OG0000003
XLOC-002744#NPFF1-RAT#Q9EP86,OG0000003
XLOC-002932#OCTB2-CHISP#G3M4F8,OG0000003
XLOC-002973#SIFAR-DROME#Q8IN35,OG0000003
XLOC-003189#SIFAR-DROME#Q8IN35,OG0000003
XLOC-003561#RYAR-DROME#P25931,OG0000003
XLOC-003793#NMUR2-MOUSE#Q8BZ39,OG0000003
XLOC-004573#NPY2R-HUMAN#P49146,OG0000003
XLOC-004641#CXCR1-RAT#P70612,OG0000003
XLOC-006481#APJ-MOUSE#Q9WV08,OG0000003
XLOC-011892#NPFF1-HUMAN#Q9GZQ6,OG0000003
XLOC-012334#NPFF1-RAT#Q9EP86,OG0000003
XLOC-013527#QRFPR-BRAFL#C3ZQF9,OG0000003
XLOC-016422#OX2R-MOUSE#P58308,OG0000003
XLOC-017990#NK3R-HUMAN#P29371,OG0000003
XLOC-021512#XLOC-021512,OG0000003
