protein_id,orthogroup
TRINITY-DN13282-c0-g1-i4,OG0000000
TRINITY-DN13282-c0-g1-i5,OG0000000
TRINITY-DN14603-c0-g1-i1,OG0000000
TRINITY-DN15074-c0-g1-i1,OG0000000
TRINITY-DN15074-c0-g1-i4,OG0000000
TRINITY-DN1850-c0-g1-i2,OG0000000
TRINITY-DN2491-c0-g1-i1,OG0000000
TRINITY-DN3012-c0-g1-i2,OG0000000
TRINITY-DN3012-c0-g1-i3,OG0000000
TRINITY-DN3701-c0-g1-i7,OG0000000
TRINITY-DN3804-c0-g1-i3,OG0000000
TRINITY-DN3804-c0-g1-i4,OG0000000
TRINITY-DN3804-c0-g1-i5,OG0000000
TRINITY-DN3867-c0-g1-i1,OG0000000
TRINITY-DN4724-c0-g1-i1,OG0000000
TRINITY-DN4724-c0-g1-i5,OG0000000
TRINITY-DN6081-c0-g1-i1,OG0000000
TRINITY-DN7745-c0-g1-i4,OG0000000
TRINITY-DN8520-c0-g1-i4,OG0000000
XLOC-000336,OG0000000
XLOC-001923,OG0000000
XLOC-002559,OG0000000
XLOC-002973,OG0000000
XLOC-003781,OG0000000
XLOC-006443,OG0000000
XLOC-007480,OG0000000
XLOC-009233,OG0000000
XLOC-012995,OG0000000
XLOC-013572,OG0000000
XLOC-016991,OG0000000
XLOC-017530,OG0000000
XLOC-017531,OG0000000
XLOC-019702,OG0000000
XLOC-025876,OG0000000
XLOC-025877,OG0000000
XLOC-031648,OG0000000
XLOC-033025,OG0000000
XLOC-033251,OG0000000
XLOC-033276,OG0000000
XLOC-033277,OG0000000
XLOC-034546,OG0000000
XLOC-034547,OG0000000
XLOC-034548,OG0000000
XLOC-036536,OG0000000
XLOC-038330,OG0000000
XLOC-038372,OG0000000
XLOC-041863,OG0000000
XLOC-042535,OG0000000
XLOC-042914,OG0000000
XLOC-043148,OG0000000
XLOC-044544,OG0000000
XLOC-044947,OG0000000
XLOC-045757,OG0000000
TRINITY-DN10788-c0-g1-i5,OG0000002
TRINITY-DN24682-c0-g3-i1,OG0000002
TRINITY-DN31192-c0-g1-i1,OG0000002
TRINITY-DN51774-c0-g1-i3,OG0000002
